Date,Open,High,Low,Close,Adj Close,Volume,highorlow,isIncreseing
08-02-2016,7489.700195,7512.549805,7363.200195,7387.25,7387.25,171500,5.75,1
09-02-2016,7303.950195,7323.450195,7275.149902,7298.200195,7298.200195,212100,48.59961,1
10-02-2016,7264.299805,7271.850098,7177.75,7215.700195,7215.700195,246900,227.25,1
11-02-2016,7203.600098,7208.649902,6959.950195,6976.350098,6976.350098,292300,42.699707,1
12-02-2016,7023.649902,7034.799805,6869,6980.950195,6980.950195,333900,-105.600097,0
15-02-2016,7057.350098,7182.799805,7056.799805,7162.950195,7162.950195,354200,153,1
16-02-2016,7201.25,7204.649902,7037.700195,7048.25,7048.25,253800,-49.600097,0
17-02-2016,7058.850098,7123.700195,6960.649902,7108.450195,7108.450195,260000,-14.350098,0
18-02-2016,7177.399902,7215.100098,7127.850098,7191.75,7191.75,246700,-40.200195,0
19-02-2016,7170.549805,7226.850098,7145.950195,7210.75,7210.75,192300,-25.699707,0
22-02-2016,7208.850098,7252.399902,7200.700195,7234.549805,7234.549805,154400,130.75,1
23-02-2016,7240.299805,7241.700195,7090.700195,7109.549805,7109.549805,194400,56.299805,1
24-02-2016,7075,7090.799805,7009.75,7018.700195,7018.700195,199700,59.25,1
25-02-2016,7029.850098,7034.200195,6961.399902,6970.600098,6970.600098,283100,9.549805,1
26-02-2016,7039.299805,7052.899902,6985.100098,7029.75,7029.75,206700,63.40039,1
29-02-2016,7050.450195,7094.600098,6825.799805,6987.049805,6987.049805,473400,-184.049805,0
01-03-2016,7038.25,7235.5,7035.100098,7222.299805,7222.299805,275100,-47.149903,0
02-03-2016,7321.700195,7380.350098,7308.149902,7368.850098,7368.850098,338500,-46.050293,0
03-03-2016,7429.549805,7483.950195,7406.049805,7475.600098,7475.600098,278600,20.049804,1
04-03-2016,7505.399902,7505.899902,7444.100098,7485.350098,7485.350098,281700,1.100097,1
08-03-2016,7486.399902,7527.149902,7442.149902,7485.299805,7485.299805,257000,-95.699707,0
09-03-2016,7436.100098,7539,7424.299805,7531.799805,7531.799805,245100,59.200196,1
10-03-2016,7545.350098,7547.100098,7447.399902,7486.149902,7486.149902,224700,-25.350097,0
11-03-2016,7484.850098,7543.950195,7460.600098,7510.200195,7510.200195,198700,3.850098,1
14-03-2016,7542.600098,7583.700195,7515.049805,7538.75,7538.75,166900,75.25,1
15-03-2016,7535.850098,7545.200195,7452.799805,7460.600098,7460.600098,193700,-41.700195,0
16-03-2016,7457.049805,7508,7405.149902,7498.75,7498.75,195400,44.850097,1
17-03-2016,7557.399902,7585.299805,7479.399902,7512.549805,7512.549805,239600,-69.700196,0
18-03-2016,7534.649902,7613.600098,7517.899902,7604.350098,7604.350098,237400,-85.049805,0
21-03-2016,7619.200195,7713.549805,7617.700195,7704.25,7704.25,196800,-19.350097,0
22-03-2016,7695.549805,7728.200195,7643.799805,7714.899902,7714.899902,208900,0.950195,1
23-03-2016,7717.450195,7726.850098,7670.600098,7716.5,7716.5,199600,125.899902,1
28-03-2016,7741,7749.399902,7587.700195,7615.100098,7615.100098,242400,9.549805,1
29-03-2016,7606.549805,7652.899902,7582.25,7597,7597,216800,-84.100097,0
30-03-2016,7651.100098,7741.950195,7643.450195,7735.200195,7735.200195,232600,-10.75,0
31-03-2016,7727.649902,7777.600098,7702,7738.399902,7738.399902,380100,5,1
01-04-2016,7718.049805,7740.149902,7666.100098,7713.049805,7713.049805,183900,-25.649903,0
04-04-2016,7733.149902,7764.450195,7704.399902,7758.799805,7758.799805,155500,133.09961,1
05-04-2016,7736.299805,7736.299805,7588.649902,7603.200195,7603.200195,203800,21.699707,1
